net,length_um
_04401_,215.23
csr._mcycle_T_2\[4\],215.19
_10096_,214.54
_12510_,214.44
_11382_,214.11
_10956_,214.06
_09115_,214.05
_03806_,213.34
_06038_,213.12
decode.id_ex_rdsel_reg,212.935
_04371_,212.82
_06963_,212.8
_09794_,212.72
decode.id_ex_rs1_data_reg\[8\],212.72
_11013_,212.57
_09447_,212.43
decode.id_ex_rs1_data_reg\[29\],212.31
_07410_,212
_11132_,211.98
_03755_,211.88
_10188_,211.88
_10673_,211.84
_07780_,211.82
_09370_,211.8
_10141_,211.62
net20,211.52
_05552_,211.35
_03809_,211.18
_10369_,211.18
_09292_,211.13
csr._mcycle_T_2\[10\],211.005
_03794_,210.97
decode.id_ex_pc_reg\[1\],210.88
_06767_,210.805
_03862_,210.295
_11203_,210.2
_05630_,210.16
_06739_,210.12
_11089_,210.08
decode.id_ex_imm_reg\[18\],209.94
_11094_,209.59
_12876_,209.47
_08387_,209.28
_11035_,209.27
_10697_,209.26
decode.id_ex_rs2_data_reg\[24\],209.235
_10958_,209.225
_03772_,209.01
_09110_,208.69
_03583_,208.6
_12973_,208.58
_06463_,208.555
_07179_,208.28
net139,208.18
_05949_,208.01
_01442_,207.96
_05780_,207.85
_09582_,207.82
_10014_,207.72
_05703_,207.67
_10275_,207.6
net4,207.56
decode.id_ex_rs1_data_reg\[24\],207.47
_05684_,207.23
_03766_,207.14
clknet_5_19__leaf_clock,207.02
_08978_,206.92
net19,206.8
_11281_,206.36
_12579_,206.19
_03598_,206.17
_00932_,206.16
_03708_,206.125
_03701_,205.98
_03592_,205.92
_02191_,205.74
_11690_,205.7
_07463_,205.64
_06626_,204.78
net132,204.6
_10854_,204.59
_11116_,204.4
decode.id_ex_rs2_data_reg\[27\],204.4
_12522_,204.155
_11129_,204.02
_07063_,203.91
_12607_,203.905
_12622_,203.85
_00551_,203.75
net25,203.74
_06329_,203.62
_10636_,203.52
_10684_,203.495
_11074_,203.37
_11052_,203.3
_12792_,203.3
execute.csr_read_data_out_reg\[11\],203.12
_13316_,203.02
decode.id_ex_imm_reg\[25\],202.97
_03985_,202.89
_00692_,202.845
_03737_,202.72
_00550_,202.59
_09209_,202.38
_10618_,202.37
decode.id_ex_rs2_data_reg\[26\],202.09
_09499_,202.08
_12519_,201.93
_10004_,201.3
net44,201.28
_03800_,201.18
_00693_,201.095
_03780_,201.08
net2,201.08
_07496_,201.04
_03872_,200.8
_06886_,200.8
net59,200.76
_01444_,200.36
clknet_5_21__leaf_clock,200.35
_11307_,200.22
decode.regfile.registers_10\[24\],199.88
_11109_,199.56
_12591_,199.54
_11118_,199.435
_04268_,199.41
decode.id_ex_imm_reg\[3\],199.28
_11365_,199.19
_10001_,199.15
_10418_,199.04
_12977_,199.005
_09943_,198.82
_06419_,198.7
_03638_,198.6
_10290_,198.52
_12506_,198.43
_04728_,198.38
decode.id_ex_rs2_data_reg\[12\],198.37
_04246_,198.33
_07841_,198.26
_11070_,198.165
net22,198.14
_06927_,197.96
_11060_,197.89
_03825_,197.855
_09169_,197.66
_11156_,197.52
_11356_,197.46
_06975_,197.32
_03988_,197.21
_12772_,197
_10242_,196.86
_01443_,196.84
_10798_,196.8
_10970_,196.78
_12623_,196.71
_06496_,196.62
csr._csr_read_data_T_8\[23\],196.6
_11371_,196.5
_09155_,196.415
_07439_,196.34
_06698_,196.3
_12509_,196.17
_04126_,196.1
_09297_,196.02
decode.regfile.registers_11\[25\],195.985
_11369_,195.93
_04062_,195.865
_11124_,195.82
_03959_,195.79
_12662_,195.64
_09166_,195.5
_12652_,195.5
_07529_,195.44
clknet_5_25__leaf_clock,195.32
_09074_,195.2
_11059_,194.91
net5,194.66
_10453_,194.64
_01441_,194.48
decode.id_ex_imm_reg\[8\],194.39
_11009_,194.285
_05670_,194.08
_12666_,193.94
_11216_,193.9
_11364_,193.9
_12553_,193.83
_04305_,193.76
_10939_,193.76
decode.regfile.registers_11\[24\],193.755
_09023_,193.75
_06037_,193.485
_03847_,193.39
_00569_,193.115
decode.id_ex_rs2_data_reg\[9\],193.03
_11276_,192.965
_09621_,192.795
_11146_,192.79
_11050_,192.59
_09198_,192.57
_12984_,192.5
_12583_,192.48
_11018_,192.46
_01439_,192.445
_11285_,192.34
_12497_,192.075
_11298_,191.94
execute.csr_read_data_out_reg\[10\],191.76
decode.id_ex_rs2_data_reg\[25\],191.04
_03861_,190.98
net27,190.86
_01446_,190.625
_12631_,190.49
_10652_,190.48
_12654_,190.22
_04070_,190.18
_08950_,190.16
_09122_,190.155
_03689_,190.145
_12629_,189.855
_11053_,189.78
_10955_,189.71
_11435_,189.62
_01445_,189.41
_11335_,189.18
_12773_,189.18
_10916_,189.155
net137,189.06
_11114_,189.04
_12659_,189.02
_13459_,189
_03775_,188.78
_04330_,188.735
_09540_,188.73
_06624_,188.5
net133,188.46
decode.id_ex_imm_reg\[9\],188.45
decode.id_ex_rs1_data_reg\[12\],188.35
_10678_,188.32
_04345_,188.26
_09974_,188.22
_12704_,188.21
_09717_,188.14
decode.id_ex_pc_reg\[16\],188.14
_11154_,188.01
decode.id_ex_rs2_data_reg\[31\],187.94
_04249_,187.7
_12737_,187.67
_12726_,187.53
_04352_,187.19
_05671_,187.12
_06352_,187.12
_01440_,187.06
decode.id_ex_imm_reg\[0\],186.98
execute.csr_read_data_out_reg\[20\],186.94
_09459_,186.8
net136,186.74
_10672_,186.73
_06955_,186.72
execute.csr_read_data_out_reg\[12\],186.7
_10911_,186.68
_11181_,186.64
net490,186.6
_10614_,186.56
_09989_,186.52
net163,186.5
_03972_,186.265
net162,186.16
net559,186.06
net3,185.96
net590,185.95
_04779_,185.89
_12732_,185.85
net28,185.72
decode.id_ex_rs1_data_reg\[6\],185.48
_12836_,185.45
_11020_,185.35
_12639_,185.03
_08712_,184.985
_03974_,184.98
_09708_,184.955
net167,184.91
net54,184.9
_11025_,184.83
_10198_,184.68
net34,184.66
_12562_,184.63
_00695_,184.615
_03551_,184.44
csr._mcycle_T_2\[3\],184.22
net55,184.12
_05656_,183.9
_13195_,183.8
_09977_,183.72
_04273_,183.51
_08992_,183.48
_09253_,183.42
net512,183.22
net12,182.88
_03591_,182.86
decode.id_ex_rs2_data_reg\[8\],182.66
net26,182.5
execute.csr_read_data_out_reg\[24\],182.39
net47,182.36
execute.io_mem_memtoreg\[1\],182.27
_09194_,182.265
_12790_,181.74
_03998_,181.65
_10132_,181.55
_11169_,181.48
_03888_,181.47
_11246_,181.46
_12576_,181.46
_12658_,181.39
_11278_,181.295
_12585_,181.28
net161,181.26
_11010_,181.24
_11043_,181.14
decode.id_ex_rs1_data_reg\[28\],181.115
net30,180.8
_12625_,180.74
_11470_,180.67
_04291_,180.635
net53,180.61
_10602_,180.56
decode.id_ex_pc_reg\[4\],180.47
